prefecture_num,prefecture,unemployment_rate201401,unemployment_rate201402,unemployment_rate201403,unemployment_rate201404,unemployment_rate201405,unemployment_rate201406,unemployment_rate201407,unemployment_rate201408,unemployment_rate201409,unemployment_rate201410,unemployment_rate201411,unemployment_rate201412,unemployment_rate201501,unemployment_rate201502,unemployment_rate201503,unemployment_rate201504,unemployment_rate201505,unemployment_rate201506,unemployment_rate201507,unemployment_rate201508,unemployment_rate201509,unemployment_rate201510,unemployment_rate201511,unemployment_rate201512,unemployment_rate201601,unemployment_rate201602,unemployment_rate201603,unemployment_rate201604,unemployment_rate201605,unemployment_rate201606,unemployment_rate201607,unemployment_rate201608,unemployment_rate201609,unemployment_rate201610,unemployment_rate201611,unemployment_rate201612,unemployment_rate201701,unemployment_rate201702,unemployment_rate201703,unemployment_rate201704,unemployment_rate201705,unemployment_rate201706,unemployment_rate201707,unemployment_rate201708,unemployment_rate201709,unemployment_rate201710,unemployment_rate201711,unemployment_rate201712,unemployment_rate201801,unemployment_rate201802,unemployment_rate201803,unemployment_rate201804,unemployment_rate201805,unemployment_rate201806,unemployment_rate201807,unemployment_rate201808,unemployment_rate201809,unemployment_rate201810,unemployment_rate201811,unemployment_rate201812,unemployment_rate201901,unemployment_rate201902,unemployment_rate201903,unemployment_rate201904,unemployment_rate201905,unemployment_rate201906,unemployment_rate201907,unemployment_rate201908,unemployment_rate201909,unemployment_rate201910,unemployment_rate201911,unemployment_rate201912,unemployment_rate202001,unemployment_rate202002,unemployment_rate202003,unemployment_rate202004,unemployment_rate202005,unemployment_rate202006,unemployment_rate202007,unemployment_rate202008,unemployment_rate202009,unemployment_rate202010,unemployment_rate202011,unemployment_rate202012,unemployment_rate202101,unemployment_rate202102,unemployment_rate202103
21,äÚïååß,2.7,2.7,2.7,2.7,2.7,2.7,2.5,2.5,2.5,2.2,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.5,2.5,2.5,2.1,2.1,2.1,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1,1,1,1.2,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.8,1.8,1.8,1.6,1.6,1.6,1.7,1.7,1.7
22,ê√â™åß,2.8,2.8,2.8,2.9,2.9,2.9,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.4,2.1,2.1,2.1,2,2,2,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,2.1,2.1,2.1,2,2,2,2,2,2,2.2,2.2,2.2,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5
23,à§ímåß,2.8,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.4,2.7,2.7,2.7,2.2,2.2,2.2,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.3,2.3,2.3,2.1,2.1,2.1,2.4,2.4,2.4,2.5,2.5,2.5,2.7,2.7,2.7,2.3,2.3,2.3,2,2,2,1.7,1.7,1.7,1.6,1.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.1,2.1,1.8,1.8,1.8,2.3,2.3,2.3,3,3,3,2.9,2.9,2.9,2.7,2.7,2.7
24,éOèdåß,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.1,2.1,2.1,2,2,2,2.2,2.2,2.2,2.5,2.5,2.5,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,2.1,2.1,2.1,1.8,1.8,1.8,1.7,1.7,1.7,1.9,1.9,1.9,2.1,2.1,2.1,1.5,1.5,1.5,1.3,1.3,1.3,1.1,1.1,1.1,1.3,1.3,1.3,1,1,1,0.9,0.9,0.9,1.1,1.1,1.1,1.5,1.5,1.5,1.3,1.3,1.3,1.1,1.1,1.1,1.4,1.4,1.4,2.2,2.2,2.2,1.9,1.9,1.9,1.8,1.8,1.8
25,é†âÍåß,3.1,3.1,3.1,2.8,2.8,2.8,3.1,3.1,3.1,2.6,2.6,2.6,2.4,2.4,2.4,1.7,1.7,1.7,2.5,2.5,2.5,2.4,2.4,2.4,2.2,2.2,2.2,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.2,2.2,2.2,1.9,1.9,1.9,2.2,2.2,2.2,1.8,1.8,1.8,1.7,1.7,1.7,2.2,2.2,2.2,2.3,2.3,2.3,1.8,1.8,1.8,1.8,1.8,1.8,2.2,2.2,2.2,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,2.1,2.1,2.1,2.5,2.5,2.5,3,3,3,2.8,2.8,2.8
26,ãûìsï{,4,4,4,3.6,3.6,3.6,3.5,3.5,3.5,3.1,3.1,3.1,3.8,3.8,3.8,3.3,3.3,3.3,3.4,3.4,3.4,2.9,2.9,2.9,3.4,3.4,3.4,3.2,3.2,3.2,3.1,3.1,3.1,2.5,2.5,2.5,3.1,3.1,3.1,2.8,2.8,2.8,2.5,2.5,2.5,2.3,2.3,2.3,2.8,2.8,2.8,2.6,2.6,2.6,2.5,2.5,2.5,2.3,2.3,2.3,2.9,2.9,2.9,2.4,2.4,2.4,2.2,2.2,2.2,2.1,2.1,2.1,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.9,2.9,2.9
27,ëÂç„ï{,4.9,4.9,4.9,4.8,4.8,4.8,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.1,4.6,4.6,4.6,3.6,3.6,3.6,3.9,3.9,3.9,4.5,4.5,4.5,4.1,4.1,4.1,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.6,3.6,3.6,3.1,3.1,3.1,3.1,3.1,3.1,2.8,2.8,2.8,3.4,3.4,3.4,3.6,3.6,3.6,3,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.9,3.3,3.3,3.3,3.9,3.9,3.9,3.3,3.3,3.3,3.9,3.9,3.9
28,ï∫å…åß,4,4,4,4.1,4.1,4.1,3.9,3.9,3.9,3.6,3.6,3.6,3.8,3.8,3.8,3.9,3.9,3.9,3.8,3.8,3.8,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7,3.4,3.4,3.4,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.7,2.7,2.7,2.4,2.4,2.4,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.2,2.2,2.2,2.1,2.1,2.1,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
29,ìﬁó«åß,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.3,3.3,3.3,2.7,2.7,2.7,3.5,3.5,3.5,3.3,3.3,3.3,3.1,3.1,3.1,3,3,3,3.3,3.3,3.3,3,3,3,2.6,2.6,2.6,2.4,2.4,2.4,2.9,2.9,2.9,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.7,2.7,2.7,2.4,2.4,2.4,1.7,1.7,1.7,2.1,2.1,2.1,2.4,2.4,2.4,1.9,1.9,1.9,2.4,2.4,2.4,2.5,2.5,2.5,2.7,2.7,2.7,2.9,2.9,2.9,2.3,2.3,2.3
30,òaâÃéRåß,3.2,3.2,3.2,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.4,2.4,2.4,2.5,2.5,2.5,2.8,2.8,2.8,2.2,2.2,2.2,2.5,2.5,2.5,1.8,1.8,1.8,2.4,2.4,2.4,1.8,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.8,1.8,1.8,1.6,1.6,1.6,2.1,2.1,2.1,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,2.1,2.1,2.1,1.7,1.7,1.7,1.6,1.6,1.6,1.4,1.4,1.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.6,2.6,2.6
31,íπéÊåß,2.9,2.9,2.9,3.3,3.3,3.3,3,3,3,2.4,2.4,2.4,3.2,3.2,3.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.5,3.5,3.5,2.3,2.3,2.3,2.3,2.3,2.3,1.3,1.3,1.3,2.1,2.1,2.1,1.9,1.9,1.9,2,2,2,1.3,1.3,1.3,1.7,1.7,1.7,1.9,1.9,1.9,1.9,1.9,1.9,2.3,2.3,2.3,2.4,2.4,2.4,2.2,2.2,2.2,1.9,1.9,1.9,2.3,2.3,2.3,2,2,2,2.6,2.6,2.6,2.3,2.3,2.3,2.9,2.9,2.9,2.7,2.7,2.7
32,ìáç™åß,2.9,2.9,2.9,2.5,2.5,2.5,2.8,2.8,2.8,2,2,2,2,2,2,2.7,2.7,2.7,2.5,2.5,2.5,2.6,2.6,2.6,2.3,2.3,2.3,1.9,1.9,1.9,1.7,1.7,1.7,0.6,0.6,0.6,1.5,1.5,1.5,1.4,1.4,1.4,1.1,1.1,1.1,0.6,0.6,0.6,0.6,0.6,0.6,1.6,1.6,1.6,1.9,1.9,1.9,1.7,1.7,1.7,2.2,2.2,2.2,1.9,1.9,1.9,1.6,1.6,1.6,1.4,1.4,1.4,1.7,1.7,1.7,0.8,0.8,0.8,1.1,1.1,1.1,2.9,2.9,2.9,2.3,2.3,2.3
33,â™éRåß,3.6,3.6,3.6,3.4,3.4,3.4,3.4,3.4,3.4,2.7,2.7,2.7,3.3,3.3,3.3,3,3,3,3.2,3.2,3.2,2.8,2.8,2.8,3.1,3.1,3.1,2.8,2.8,2.8,2.7,2.7,2.7,2.2,2.2,2.2,2.6,2.6,2.6,2.5,2.5,2.5,2.3,2.3,2.3,2.1,2.1,2.1,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,2.3,2,2,2,2.2,2.2,2.2,2,2,2,2.2,2.2,2.2,2.5,2.5,2.5,2.5,2.5,2.5
34,çLìáåß,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,2.9,2.9,2.9,3.2,3.2,3.2,3,3,3,3,3,3,2.9,2.9,2.9,3,3,3,2.9,2.9,2.9,2.7,2.7,2.7,2.4,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.4,2.5,2.5,2.5,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.2,2.2,2.4,2.4,2.4,2.6,2.6,2.6,2.5,2.5,2.5
35,éRå˚åß,2.6,2.6,2.6,3.2,3.2,3.2,3.1,3.1,3.1,2.9,2.9,2.9,2.5,2.5,2.5,2.9,2.9,2.9,3,3,3,2.8,2.8,2.8,2.4,2.4,2.4,2.7,2.7,2.7,2.5,2.5,2.5,2.1,2.1,2.1,1.7,1.7,1.7,2.3,2.3,2.3,2.1,2.1,2.1,2,2,2,1.4,1.4,1.4,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2,1.6,1.6,1.6,2,2,2,1.8,1.8,1.8,1.7,1.7,1.7,1.3,1.3,1.3,1.9,1.9,1.9,2,2,2,2.3,2.3,2.3,1.8,1.8,1.8
36,ìøìáåß,3.5,3.5,3.5,3.2,3.2,3.2,3.5,3.5,3.5,2.7,2.7,2.7,3.3,3.3,3.3,3,3,3,3,3,3,2.7,2.7,2.7,3,3,3,3,3,3,3,3,3,2.7,2.7,2.7,2.8,2.8,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.2,2.2,2.2,1.9,1.9,1.9,2.2,2.2,2.2,1.4,1.4,1.4,1.9,1.9,1.9,1.9,1.9,1.9,2.2,2.2,2.2,1.4,1.4,1.4,1.9,1.9,1.9,2.2,2.2,2.2,2.2,2.2,2.2,2.5,2.5,2.5,2.2,2.2,2.2
37,çÅêÏåß,3.3,3.3,3.3,3.2,3.2,3.2,2.8,2.8,2.8,3,3,3,3.1,3.1,3.1,3,3,3,2.6,2.6,2.6,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3,2.4,2.4,2.4,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.4,2.4,2.4,2,2,2,2,2,2,2,2,2,2.2,2.2,2.2,2,2,2,2,2,2,2,2,2,2.4,2.4,2.4,2.2,2.2,2.2,2.4,2.4,2.4,2.3,2.3,2.3
38,à§ïQåß,3.7,3.7,3.7,3,3,3,3.3,3.3,3.3,2.8,2.8,2.8,3.4,3.4,3.4,2.6,2.6,2.6,2.8,2.8,2.8,2.5,2.5,2.5,3.1,3.1,3.1,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.5,2.5,2.9,2.9,2.9,2.2,2.2,2.2,2.5,2.5,2.5,2.2,2.2,2.2,2.3,2.3,2.3,1.6,1.6,1.6,1.7,1.7,1.7,1.3,1.3,1.3,1.9,1.9,1.9,1.4,1.4,1.4,1.7,1.7,1.7,1.4,1.4,1.4,2,2,2,1.7,1.7,1.7,2.2,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4
39,çÇímåß,3.3,3.3,3.3,3.2,3.2,3.2,3.3,3.3,3.3,3,3,3,3.3,3.3,3.3,3.2,3.2,3.2,2.7,2.7,2.7,2.7,2.7,2.7,3.3,3.3,3.3,3.8,3.8,3.8,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5,2.7,2.7,2.7,2.5,2.5,2.5,2.8,2.8,2.8,2.7,2.7,2.7,1.9,1.9,1.9,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,1.9,1.9,1.9,1.9,1.9,1.9,2.2,2.2,2.2,2.7,2.7,2.7,3,3,3,2.8,2.8,2.8,2.0,2.0,2.0
40,ïüâ™åß,4.8,4.8,4.8,4.6,4.6,4.6,4.6,4.6,4.6,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.8,3.8,3.8,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.1,3.1,3.1,3.1,3.1,3.1,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.9,2.7,2.7,2.7,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
41,ç≤âÍåß,3.7,3.7,3.7,3.6,3.6,3.6,3.2,3.2,3.2,3.2,3.2,3.2,3,3,3,3,3,3,3.2,3.2,3.2,3,3,3,2.6,2.6,2.6,2.4,2.4,2.4,2.3,2.3,2.3,1.6,1.6,1.6,1.4,1.4,1.4,2.7,2.7,2.7,1.8,1.8,1.8,2.3,2.3,2.3,2.1,2.1,2.1,2,2,2,0.9,0.9,0.9,1.8,1.8,1.8,2,2,2,2.2,2.2,2.2,1.7,1.7,1.7,2,2,2,2.2,2.2,2.2,1.8,1.8,1.8,2,2,2,2.2,2.2,2.2,1.4,1.4,1.4
42,í∑çËåß,3.8,3.8,3.8,4,4,4,3.6,3.6,3.6,3.2,3.2,3.2,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,2.8,2.8,2.8,2.8,2.8,2.8,3.2,3.2,3.2,2.9,2.9,2.9,2.7,2.7,2.7,2.7,2.7,2.7,3.2,3.2,3.2,2.6,2.6,2.6,2.2,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.2,2.2,2.2,1.9,1.9,1.9,2,2,2,2.4,2.4,2.4,2.2,2.2,2.2,2,2,2,2.1,2.1,2.1,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
43,åFñ{åß,4,4,4,4.6,4.6,4.6,3.6,3.6,3.6,3.2,3.2,3.2,3.7,3.7,3.7,4.3,4.3,4.3,3.4,3.4,3.4,2.8,2.8,2.8,3.2,3.2,3.2,3.8,3.8,3.8,3,3,3,2.5,2.5,2.5,3.2,3.2,3.2,3.7,3.7,3.7,2.9,2.9,2.9,2.4,2.4,2.4,2.9,2.9,2.9,3.3,3.3,3.3,2.6,2.6,2.6,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,2.6,2.6,2.6,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,2.5,2.5,2.5,2.4,2.4,2.4,2.9,2.9,2.9
44,ëÂï™åß,3.3,3.3,3.3,3.6,3.6,3.6,3,3,3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,3.1,3.1,2.5,2.5,2.5,2.9,2.9,2.9,2.6,2.6,2.6,2.9,2.9,2.9,2.1,2.1,2.1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.1,2.1,2.1,2.4,2.4,2.4,2.2,2.2,2.2,2.3,2.3,2.3,1.8,1.8,1.8,2.2,2.2,2.2,2,2,2,2.3,2.3,2.3,1.5,1.5,1.5,1.8,1.8,1.8,2,2,2,2.3,2.3,2.3,1.6,1.6,1.6,2,2,2,2.2,2.2,2.2
45,ã{çËåß,3,3,3,3.7,3.7,3.7,3.5,3.5,3.5,2.6,2.6,2.6,3,3,3,3.4,3.4,3.4,3.8,3.8,3.8,2.7,2.7,2.7,2.3,2.3,2.3,2.2,2.2,2.2,2.5,2.5,2.5,2,2,2,1.8,1.8,1.8,1.8,1.8,1.8,2.3,2.3,2.3,1.9,1.9,1.9,1.6,1.6,1.6,1.3,1.3,1.3,1.4,1.4,1.4,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,1.4,1.4,1.4,2.1,2.1,2.1,2,2,2,2,2,2,1.8,1.8,1.8,2.5,2.5,2.5
